,name,cmt,add,del,fixes,files,comments,pr,issues,handle_issue
518,Spencer Alger,4,15,15,3,6,,,,
519,David Pursehouse,3,37,22,0,9,,,,
520,Benoit Delbosc,2,18,12,0,2,,,,
521,Julie Tibshirani,1,79,3,0,2,,,,
522,Jack Conradson,337,134086,80757,26,4553,,,,
523,Alexander,1,1,1,1,1,,,,
524,Mal Curtis,1,1,1,0,1,,,,
525,Adam Mollenkopf,1,1,1,0,1,,,,
526,Mehdi Mollaverdi,1,2,2,0,1,,,,
527,Mark Mulder,1,4,4,0,1,,,,
528,Christine,1,4,4,0,1,,,,
529,navins,1,3,3,0,1,,,,
530,minde-eagleeye,1,1,1,0,1,2.0,1.0,3.0,0.0
531,aleph-zero,8,1410,68,2,25,168.0,48.0,71.0,29.0
532,Antonio Bonuccelli,3,24,1,0,3,,,,
533,Mikael Mattsson,1,3,0,0,1,,,,
534,Cl¨¦ment Sala¨¹n,1,1,1,0,1,,,,
535,Pascal Borreli,2,54,54,0,45,,,,
536,Christoph B¨¹scher,817,59637,33188,48,3667,,,,
537,josephwolnskipn,1,59,59,0,1,,,,
538,Scott Chamberlain,2,7,1,0,2,,,,
539,Yannick Welsch,1,389,74,0,3,,,,
540,Colin Goodheart-Smithe,718,443515,219173,122,6433,,,,
541,Eduardo Gurgel,1,2,2,0,1,,,,
542,Alex Chan,2,9,9,0,7,,,,
543,jzinner,1,4,0,0,2,0.0,2.0,4.0,0.0
544,Ryan Schneider,3,5,3,0,2,,,,
545,Spyros Kapnissis,1,14,0,0,3,,,,
546,Gasol Wu,1,46,0,0,1,,,,
547,Kis Marcell,1,43,20,0,4,,,,
548,Timur,1,1,1,1,1,,,,
549,Michael McCandless,43,482,239,1,47,,,,
550,Chelsea  Lura,1,1,1,0,1,,,,
551,Robin Clarke,7,21,11,1,7,,,,
552,Steve Kearns,2,436,409,0,3,,,,
553,srogljan,1,2,2,1,2,1.0,1.0,1.0,0.0
554,Shaunak Kashyap,86,889,449,6,114,,,,
555,Mark Walkom,18,72,43,0,19,,,,
556,Nirmal Chidambaram,1,104,1,0,6,,,,
557,oyiadom,3,7,1,0,3,1.0,4.0,4.0,0.0
558,Iarwa1n,1,1,1,0,1,0.0,1.0,1.0,0.0
559,caldwecr,2,6,5,0,2,0.0,2.0,2.0,0.0
560,Johannes Barthelmes,1,20,12,0,1,,,,
561,Artur Cygan,1,13,13,0,1,,,,
562,Luca Cavanna,447,47510,27311,35,2708,,,,
563,Carol Willing,1,1,1,0,1,,,,
564,Wolfgang Karall,1,4,1,0,1,,,,
565,Khalah Jones Golden,9,0,0,1,0,,,,
566,Khalah Jones-Golden,23,33,56,0,3,,,,
567,szroland,8,222,25,0,11,5.0,6.0,7.0,0.0
568,Ruslan Boyarskiy,1,1,1,0,1,,,,
569,William Li,1,2,2,0,1,,,,
570,astefan,141,34440,6887,17,1082,828.0,189.0,479.0,127.0
571,jhr007,1,13,2,0,1,0.0,1.0,1.0,0.0
572,Jason Tedor,2792,294372,210986,420,17785,,,,
573,Jakob Reiter,1,5,5,0,1,,,,
574,johnpickett,1,1,1,1,1,0.0,1.0,1.0,0.0
575,William Webber,3,3,3,0,3,,,,
576,Tyler Langlois,4,14,10,1,4,,,,
577,Israel Ekpo,1,3,3,0,1,,,,
578,Jay Modi,328,63396,39696,44,4149,,,,
579,johnfrederik,1,1,1,0,1,,,,
580,John Roesler,1,6,0,1,1,,,,
581,Joshua Rich,1,17,0,0,1,,,,
582,debadair,54,4959,3744,0,169,444.0,128.0,145.0,82.0
583,Chris Roche,1,2,2,0,1,,,,
584,Scott Florentino,2,11,3,0,2,,,,
585,Alexander Clare,2,8,3,0,2,,,,
586,Ruflin,6,307,65,0,8,,,,
587,Chris Earle,103,12870,8337,7,524,,,,
588,khiraiwa,1,1,1,0,1,0.0,2.0,2.0,0.0
589,xuzha,30,2478,595,1,145,47.0,33.0,38.0,2.0
590,Dave Parfitt,4,278,9,0,10,,,,
591,Dave Parfitt,3,0,0,0,0,,,,
592,Suyog Rao,4,72,23,0,5,,,,
593,Jamie White,1,1,1,0,1,,,,
594,Sylvain Zimmer,2,6,1,0,2,,,,
595,Lee Hinman,302,58079,26115,28,3279,,,,
596,kakakakakku,2,3,5,0,2,0.0,2.0,2.0,0.0
597,Scott Florentino,1,0,0,1,0,,,,
598,loopmachine,1,2,2,0,1,0.0,1.0,1.0,0.0
599,Xu Zhang,13,0,0,0,0,,,,
600,keety,1,40,1,1,3,0.0,1.0,3.0,0.0
601,saschamarkus,1,14,1,0,2,0.0,2.0,2.0,0.0
602,Andrey Fadeyev,3,38,12,0,3,,,,
603,Harish Kayarohanam,2,20,2,0,2,,,,
604,Jason Tedor,1,1,1,0,1,,,,
605,Ian Truslove,1,2,2,0,1,,,,
606,Murilo Pereira,2,6,6,0,2,,,,
607,Jim Hooker,2,18,18,0,6,,,,
608,Andr¨¦ Carvalho,14,181,42,0,25,,,,
609,Fabian Selles Rosa,1,51,2,0,2,,,,
610,Spencer,19,36,37,2,13,,,,
611,Ivannikov Kirill,15,242,98,2,17,,,,
612,Marshall Bockrath-Vandegrift,1,23,15,0,1,,,,
613,Shane Connelly,15,152,126,0,18,,,,
614,Britta Weber,41,14789,962,9,111,,,,
615,DeDe Morton,18,1034,927,0,21,,,,
616,ramky1982,1,1,1,0,1,0.0,1.0,1.0,0.0
617,Paul Echeverri,5,534,8,2,9,,,,
618,Alexander Pepper,1,6,5,0,1,,,,
619,Rashmi Kulkarni,7,302,0,2,5,,,,
620,Pedro Andujar,1,2,2,0,1,,,,
621,Tim Sullivan,97,677,117,34,31,,,,
622,Michael Schonfeld,2,2,3,0,4,,,,
623,Scott Kingsley Clark,1,1,1,0,1,,,,
624,Robert Berg,1,3,7,0,1,,,,
625,Camilo D¨ªaz Repka,5,513,234,0,100,,,,
626,Mikko Nyl¨¦n,1,3,1,0,1,,,,
627,ulkas,1,1,1,1,1,1.0,1.0,1.0,0.0
628,Taehee Kim,1,1,1,0,1,,,,
629,Alex Chow,1,52,18,0,8,,,,
630,Jason Veatch,2,3,2,0,2,,,,
631,Jose Diaz-Gonzalez,1,1,1,0,1,,,,
632,Yannick Welsch,115,7414,3792,31,323,,,,
633,Alex,1,1,1,0,1,,,,
634,Michele Palmia,1,1,1,0,1,,,,
635,Kevin Kirsche,2,6,2,0,2,,,,
636,Robert,3,6,2,0,3,,,,
637,Patrick Kaufmann,1,1,1,0,1,,,,
638,Court Ewing,17,28,5,5,3,,,,
639,Sarwar Bhuiyan,3,17,31,0,3,,,,
640,PhaedrusTheGreek,2,6,5,1,5,2.0,4.0,53.0,0.0
641,bharvi,2,2,2,0,2,,,,
642,Pius,11,17,14,0,10,,,,
643,Tal Levy,201,22281,14947,36,936,,,,
644,Tal Levy,289,41717,14277,61,2178,,,,
645,Jason O'Donnell,6,6,6,0,6,,,,
646,jmferrer,1,1,1,0,1,0.0,1.0,1.0,0.0
647,Christian Haudum,1,105,1,0,5,,,,
648,Jeff Destine,1,2,0,0,1,,,,
649,jurgc11,1,1,0,0,1,0.0,2.0,3.0,0.0
650,Brady Vidovic,1,1,1,0,1,,,,
651,Yuhao Bi,3,14,2,2,4,,,,
652,David Tvaltchrelidze,1,1,1,0,1,,,,
653,Daniel Mitterdorfer,107,7489,2956,5,503,,,,
654,KangYongKyun,1,2,2,0,1,,,,
655,Your Full Name,1,35,9,1,2,,,,
656,Lukas Olson,110,424,424,44,30,,,,
657,girirajsharma,1,1,1,0,1,0.0,2.0,3.0,0.0
658,William Bowling,2,160,62,0,8,,,,
659,andrejserafim,3,423,46,1,38,9.0,7.0,11.0,0.0
660,Chris Earle,106,14979,5674,5,667,,,,
661,Vishnu Valleru,1,1,1,0,1,,,,
662,Peter Lebedev,1,16,0,0,1,,,,
663,J Grubb,1,3,3,0,1,,,,
664,Kopylov German,1,1,1,0,1,,,,
665,craigwi,1,774,167,0,16,7.0,1.0,3.0,0.0
666,Jamie McCarthy,1,5,6,0,1,,,,
667,William,1,1,1,0,1,,,,
668,Shikhar Bhushan,1,1,0,0,1,,,,
669,Dominik Stadler,5,1540,99,0,27,,,,
670,Timothy Sullivan,6,22,2144,0,37,,,,
671,Jimmi Dyson,1,1,0,0,1,,,,
672,tomoya yokota,1,2,2,0,1,,,,
673,Jason Spafford,1,1,1,0,1,,,,
674,Shintaro Kaneko,1,1,1,0,1,,,,
675,Johnny Lim,2,21,23,0,3,,,,
676,Jim Ferenczi,3,311,187,0,12,,,,
677,Jim Ferenczi,588,93899,46980,101,5439,,,,
678,Jochen Schalanda,1,10,0,0,1,,,,
679,Rhommel Lamas,2,2,0,0,2,,,,
680,Xavier Coulon,1,1,1,0,1,,,,
681,Ryan,2,13,6,0,2,,,,
682,Gao Yingkai,1,4,2,0,1,,,,
683,Ben Tse,1,1,1,1,1,,,,
684,Myll,1,68,63,0,10,,,,
685,Paulo Martins,1,8,8,0,2,,,,
686,Khalah Jones Golden,1,0,0,0,0,,,,
687,Lukas Olson,1,0,0,0,0,,,,
688,Andrew Williams,1,5,4,0,1,,,,
689,Felipe Forbeck,7,217,135,1,11,,,,
690,umeku,1,4,4,0,1,0.0,1.0,1.0,0.0
691,soinlv,1,0,1,0,1,0.0,1.0,1.0,0.0
692,Jason Bryan,3,4,3,0,2,,,,
693,kwangsik,1,1,1,0,1,,,,
694,socurites,2,2,2,0,2,0.0,4.0,5.0,0.0
695,Dave,1,124,4,0,4,,,,
696,mysqlguru,1,1,1,0,1,,,,
697,omiend,1,1,1,0,1,0.0,2.0,3.0,0.0
698,Devi,1,1,1,1,1,,,,
699,David Roberts,6,20,16,0,5,,,,
700,Eugene Pirogov,1,12,13,0,1,,,,
701,Imran Azad,1,96,0,0,2,,,,
702,Nick,2,4,4,0,2,,,,
703,nick.a.sarbicki@gmail.com,1,2,3,0,1,,,,
704,Ali Beyad,276,31520,16080,43,1588,,,,
705,Joe Fleming,44,0,0,19,0,,,,
706,Ryan Schneider,1,25,0,0,1,,,,
707,Kiyan,1,1,1,0,1,,,,
708,Rachit Gupta,1,1,1,0,1,,,,
709,Kevin Adams,1,1,2,1,1,,,,
710,Ofir,3,2,1,0,3,,,,
711,Mike McCandless,32,857,571,2,242,,,,
712,LeeDr,3,5,5,1,4,0.0,3.0,18.0,0.0
713,Prayag Verma,1,1,1,0,1,,,,
714,Russell Cohen,1,3,0,0,1,,,,
715,Yannick Welsch,638,74650,53817,47,3608,,,,
716,Chris Moultrie,1,18,1,0,1,,,,
717,Dongjoon Hyun,9,275,275,1,196,,,,
718,gaelL,1,1,1,1,1,0.0,1.0,1.0,0.0
719,Laurent Defert,1,1,1,0,1,,,,
720,James Bertouch,4,101,14,0,14,,,,
721,Konstantin Delchev,1,1,1,0,1,,,,
722,evanfreed,1,1,1,0,1,0.0,1.0,2.0,0.0
723,Andrey Ryaguzov,1,20,8,0,2,,,,
724,Alexander Kazakov,30,1844,745,2,145,,,,
725,Geoff Wagstaff,1,1,1,0,1,,,,
726,James Kerr,1,1,1,0,1,,,,
727,Vector241-Eric,1,1,1,0,1,0.0,1.0,1.0,0.0
728,Christopher Taylor,1,1,1,0,1,,,,
729,Andrew Cholakian,6,307,171,0,18,,,,
730,thefourtheye,6,28,20,1,6,1.0,8.0,8.0,0.0
731,Zachary Tong,143,67937,16691,17,1705,,,,
732,Ed Winn,1,1,1,0,1,,,,
733,Jared Carey,3,2,1,0,2,,,,
734,Joe Fleming,15,0,0,9,0,,,,
735,Michael Stockerl,2,35,23,0,3,,,,
736,Thomas Hunter II,1,1,1,0,1,,,,
737,Simon Willison,1,7,0,0,1,,,,
738,Philip Ottesen,1,28,0,0,2,,,,
739,pengqiuyuan,1,1,1,0,1,0.0,1.0,2.0,0.0
740,Nicolas Tr¨¦segnie,1,222,2,0,4,,,,
741,Dan Jasek,1,40,22,1,7,,,,
742,qwerty4030,8,2926,1555,1,135,66.0,12.0,15.0,0.0
743,Yanjun Huang,1,48,2,0,5,,,,
744,Joe Hillenbrand,1,5,5,0,5,,,,
745,Dimitrios Liappis,8,71,55,1,8,,,,
746,Dimitrios Liappis,40,829,258,3,69,,,,
747,Jeff,1,1,1,0,1,,,,
748,Mahmoud Lababidi,1,21,10,0,1,,,,
749,Jimmy Jones,1,173,168,1,22,,,,
750,Dmitrii Izgurskii,1,1,1,0,1,,,,
751,Ibrahim Awwal,1,1,1,0,1,,,,
752,Daniil Penkin,1,10,1,0,1,,,,
753,val,3,11,11,0,5,,,,
754,Herbert Fischer,1,5,2,0,2,,,,
755,Jonathan Budzenski,9,263,113,0,4,,,,
756,bloublou,1,1,1,0,1,,,,
757,LeonardGC,1,1,1,0,1,0.0,1.0,4.0,0.0
758,Danilo Vaz,1,10,10,0,9,,,,
759,Russ Cam,31,1645,623,2,273,,,,
760,Jay Greenberg,3,3,2,0,2,,,,
761,ericamick,4,5,5,0,4,0.0,5.0,5.0,0.0
762,chenxiang,5,187,26,1,10,,,,
763,Mike Buhot,1,6,0,0,1,,,,
764,Jihun No,2,2,2,0,2,,,,
765,Gabriel Moskovicz,4,83,9,0,4,,,,
766,Robin Joseph,1,1,1,0,1,,,,
767,Josef Salyer,1,8,7,1,1,,,,
768,Todd Dicken,1,1,1,0,1,,,,
769,Kelsey DeJesus-Banos,1,1,1,0,1,,,,
770,Radovan Ondas,1,1,1,1,1,,,,
771,Zack Dever,1,1,1,0,1,,,,
772,jasonquick,1,1,1,0,1,0.0,1.0,1.0,0.0
773,John Barker,1,1,0,0,1,,,,
774,Aaron Mildenstein,3,6,6,0,5,,,,
775,Shubham Aggarwal,3,4,4,0,3,,,,
776,Daniel Mitterdorfer,69,6583,3972,5,464,,,,
777,Rodolfo Martinez,1,2,1,0,1,,,,
778,Kyle Gochenour,1,1,1,0,1,,,,
779,Jeff Evans,2,38,5,0,4,,,,
780,eratio08,2,4,1,0,2,3.0,2.0,2.0,0.0
781,Julien Pivotto,1,17,0,0,1,,,,
782,G. Richard Bellamy,1,17,17,0,4,,,,
783,Christoph Wurm,9,6211,13,0,24,,,,
784,GUILLAUME GROSSETIE,1,28,28,0,2,,,,
785,Stefan Scherer,1,44,31,0,4,,,,
786,trangvh,1,2,2,0,2,0.0,2.0,2.0,0.0
787,gfyoung,12,989,182,1,42,37.0,4.0,4.0,0.0
788,Vladimir Kovpak,1,1,1,0,1,,,,
789,Philips Kokoh,1,2,2,0,1,,,,
790,Alexander Lin,11,2381,660,1,183,,,,
791,Mateusz Rzepa,1,15,0,0,1,,,,
792,Eric Sherman,1,1,1,0,1,,,,
793,Jerry Liu,1,1,1,1,1,,,,
794,Honza Kr¨¢l,6,41,20,0,13,,,,
795,Matt Bargar,2,0,0,2,0,,,,
796,jalvar08,2,2,2,0,2,0.0,2.0,2.0,0.0
797,Leon Weidauer,1,40,36,0,1,,,,
798,Christoph Wurm,2,10,13,0,2,,,,
799,Justin Patrin,1,3,1,0,1,,,,
800,CJ Cenizal,10,22,8,0,2,,,,
801,Sho Minagawa,1,1,1,0,1,,,,
802,James Baiera,53,8261,1725,8,224,,,,
803,Folusho Oladipo,2,3,4,0,2,,,,
804,Michael Nitschinger,2,61,5,0,4,,,,
805,kingrhoton,2,3,3,0,2,0.0,4.0,4.0,0.0
806,Jared McQueen,1,1,1,0,1,,,,
807,adityasinghraghav,1,1,1,0,1,0.0,2.0,2.0,0.0
808,Brandon Wulf,1,1,1,0,1,,,,
809,Mary,1,1,1,1,1,,,,
810,debadair,135,30576,10918,5,866,444.0,128.0,145.0,82.0
811,Ryan Biesemeyer,1,1,1,0,1,,,,
812,Ludo,1,1,1,0,1,,,,
813,Thiago Souza,7,68,7,2,6,,,,
814,Munish Goyal,3,3,3,0,3,,,,
815,ddddn,1,1,1,0,1,,,,
816,Tyler Smalley,3,0,3,0,1,,,,
817,Josh Becker,1,1,1,0,1,,,,
818,Greg Ichneumon Brown,2,3,1,1,4,,,,
819,Stian Lindhom,1,32,1,0,3,,,,
820,nrichers,3,6,6,1,4,1.0,7.0,7.0,0.0
821,antonisppn,1,1,1,0,1,0.0,1.0,1.0,0.0
822,chico chen,1,1,1,0,1,,,,
823,makeyang,3,15,43,0,3,16.0,9.0,94.0,0.0
824,Yevhen Bobrov,1,48,0,1,2,,,,
825,Tobias G¨¹nther,1,3,1,0,1,,,,
826,Alexander Guz,3,9,2,0,3,,,,
827,David Kyle,3,71,1,0,3,,,,
828,David Roberts,502,130344,94265,44,4877,,,,
829,David Kyle,414,51755,23320,11,2808,,,,
830,Tom Veasey,1,0,0,0,0,,,,
831,Dimitrios Athanasiou,537,103112,38096,53,4566,,,,
832,Anatolii Stepaniuk,1,4,4,1,4,,,,
833,Joshua Rich,2,64,66,0,2,,,,
834,jaymode,121,1623,1430,22,257,1516.0,302.0,392.0,78.0
835,Tom Manterfield,1,3,2,0,2,,,,
836,Lucas Bremgartner,2,4,1,0,2,,,,
837,Thibaud BARDIN,2,2,2,0,2,,,,
838,brandonkearby,1,57,9,0,2,0.0,1.0,1.0,0.0
839,Uli Fahrer,1,1,1,0,1,,,,
840,kunal642,1,32,32,0,17,6.0,6.0,7.0,0.0
841,Quinn Shanahan,1,1,1,0,1,,,,
842,Monica Sarbu,1,0,0,0,0,,,,
843,Fanfan,2,11,12,1,7,,,,
844,Praveen Shukla,1,1,1,0,1,,,,
845,Li Weinan,1,6,1,0,1,,,,
846,Stanislav Mamontov,1,1,1,0,1,,,,
847,LakumiNarayanan,1,1,1,0,1,0.0,1.0,1.0,0.0
848,Craig Squire,1,6,7,0,2,,,,
849,Adriel Dean-Hall,1,34,2,0,1,,,,
850,Andreas Creten,1,2,0,0,1,,,,
851,Loek van Gool,4,21,7,1,4,,,,
852,Joeyn414,1,1,1,1,1,0.0,1.0,1.0,0.0
853,lslxdx,1,1,1,0,1,0.0,1.0,1.0,0.0
854,Sandeep Kanabar,4,4,4,0,4,,,,
855,Sumit Gupta,1,1,1,0,1,,,,
856,Bryan Karlovitz,1,1,1,0,1,,,,
857,Tim Vernum,216,78548,13574,15,1874,,,,
858,Luca Wintergerst,2,2,7,2,1,,,,
859,ismael-hasan,1,2,2,0,1,0.0,1.0,6.0,0.0
860,Jeffery Bradberry,1,1,1,0,1,,,,
861,Ludovic Dubost,1,4,1,0,1,,,,
862,Chris Fritz,1,2,2,0,1,,,,
863,Trey Tacon,1,1,1,0,1,,,,
864,Erel2,1,5,0,0,1,0.0,1.0,1.0,0.0
865,Adrin Jalali,8,12,12,3,8,,,,
866,umeshdangat,1,115,7,0,3,0.0,3.0,3.0,0.0
867,Ahmad Ragab,1,1,1,0,1,,,,
868,Achraf,2,4,4,0,2,,,,
869,Carney Wu,1,1,1,0,1,,,,
870,Sho Yoshida,1,3,0,0,1,,,,
871,Aaron Bull Schaefer,4,18,0,0,3,,,,
872,shaie,4,394,31,1,15,11.0,4.0,7.0,0.0
873,Arthur,1,2,2,0,1,,,,
874,Ke Li,1,8,12,0,6,,,,
875,nelsonSchwarz,1,5,2,0,1,0.0,1.0,1.0,0.0
876,Allen Torres,1,1,1,0,1,,,,
877,makeyang,4,85,16,2,4,16.0,9.0,94.0,0.0
878,Daniel Mitterdorfer,48,231,138,0,65,,,,
879,Nikhil Patel,1,1,1,1,1,,,,
880,Thibault Pierre,1,1,1,0,1,,,,
881,Guilherme,1,7,0,0,1,,,,
882,Juan Paulo Gutierrez,1,1,1,0,1,,,,
883,Matias Anaya,1,1,1,0,1,,,,
884,Stacey Gammon,3,41,1,1,2,,,,
885,Matthew Haugen,1,1,1,0,1,,,,
886,Artur Nowosielski,1,58,1,0,2,,,,
887,yutaono,1,1,0,0,1,0.0,1.0,1.0,0.0
888,Matt Sicker,1,2,2,0,1,,,,
889,Aaron Spiegel,1,268,6,0,6,,,,
890,Pablo Musa,3,4,4,1,3,,,,
891,Grzegorz Gajos,1,131,9,0,3,,,,
892,Tim B,372,76659,41323,49,8079,,,,
893,Gameldar,3,124,7,0,4,,,,
894,Nic Palmer,3,9,1,0,5,,,,
895,Rui Hu,1,2,2,0,1,,,,
896,Francesc Gil,2,6,6,0,2,,,,
897,Gameldar,1,1,1,0,1,,,,
898,St¨¦phane Campinas,12,314,111,0,18,,,,
899,Dave Richardson,1,2,2,0,1,,,,
900,Mike Dias,1,1,0,0,1,,,,
901,Thomas Neirynck,1,0,0,0,0,,,,
902,Johannes Kanavin,1,2,2,0,1,,,,
903,animageofmine,1,11,1,0,4,7.0,2.0,5.0,0.0
904,henakamaMSFT,1,1,1,0,1,3.0,2.0,3.0,0.0
905,A.N,1,1,1,0,1,,,,
906,Jake,2,4,1,0,2,,,,
907,Chris Adams,1,11,6,0,1,,,,
908,David Cho-Lerat,3,5,5,1,3,,,,
909,Jack Conradson,11,60,7041,0,355,,,,
910,Hendrik Muhs,195,50501,19242,53,1871,,,,
911,Suyog Rao,5,894,65,0,20,,,,
912,maciejkula,1,4,1,0,1,2.0,1.0,2.0,0.0
913,Elijah,1,1,0,0,1,,,,
914,Alex,1,2,1,0,2,,,,
915,Elijah,3,9,9,1,3,,,,
916,Scott Somerville,4,799,94,0,24,,,,
917,James Gowdy,2,0,0,0,0,,,,
918,Ke Li,1,2,2,0,1,,,,
919,Patryk Krawaczy¨½ski,2,5,4,0,2,,,,
920,srgclr,1,4,0,0,1,1.0,1.0,2.0,0.0
921,Anil Bawa-Cavia,1,3,0,0,1,,,,
922,Alex Bumbu,1,45,26,0,5,,,,
923,Mathieu Berube,1,1,1,0,1,,,,
924,Shubham Aggarwal,2,2,2,1,2,,,,
925,alamzeeshan,1,2,14,0,1,0.0,1.0,1.0,0.0
926,Rob Moore,1,1,1,0,1,,,,
927,Chris Buonocore,1,10,0,0,2,,,,
928,AlexNodex,2,2,2,0,2,0.0,2.0,2.0,0.0
929,Jordan Robinson,1,1,1,1,1,,,,
930,Pier-Hugues Pellerin,4,6,0,3,1,,,,
931,Jonathan D Strootman,1,1,0,0,1,,,,
932,Sebastian,1,62,62,0,49,,,,
933,sabi0,3,44,13,0,5,10.0,4.0,9.0,0.0
934,Giuseppe,1,2,0,0,1,,,,
935,Brandon Kobel,6,101,84,0,13,,,,
936,Catherine Snow,1,1,1,0,1,,,,
937,sungjunyoung,1,2,2,0,1,0.0,1.0,1.0,0.0
938,Zach,41,1100,315,2,65,,,,
939,Andreas Roussos,1,10,10,0,8,,,,
940,Martin Scholz,2,48,37,0,16,,,,
941,mms-programming,1,3,1,0,2,0.0,2.0,2.0,0.0
942,Christopher Best,1,1,1,0,1,,,,
943,Tim Vernum,67,24620,1516,6,511,,,,
944,Randall Britten,3,20,21,0,10,,,,
945,J¨¹rgen van Dijk,1,1,1,0,1,,,,
946,msancho,1,2,2,0,1,0.0,1.0,1.0,0.0
947,Kunal Kapoor,3,147,68,0,9,,,,
948,Shashank Singh,1,1,1,1,1,,,,
949,NFM,1,1,1,1,1,,,,
950,Pavel Chertorogov,2,20,20,0,2,,,,
951,Steffen Siering,1,270,47,0,16,,,,
952,Md.Abdulla-Al-Sun,3,229,20,0,23,,,,
953,Robin Stocker,2,5,4,0,2,,,,
954,Arnaud Venturi,1,1,1,0,1,,,,
955,Alex Lattas,1,13,2,0,1,,,,
956,Jordan Kiang,1,29,3,0,2,,,,
957,Nikiforos Botis,1,4,7,0,1,,,,
958,Max Goodridge,1,3,3,0,3,,,,
959,Minwoo Kim,1,1,1,1,1,,,,
960,Stefan Gorgiovski,1,68,3,0,5,,,,
961,AdityaJNair,1,667,431,0,38,0.0,1.0,1.0,0.0
962,Marios Trivyzas,141,30976,14674,11,1367,,,,
963,Stuart Neivandt,1,34,3,0,2,,,,
964,lcawl,783,67117,39367,14,4493,1172.0,628.0,650.0,35.0
965,David Causse,3,102,30,1,8,,,,
966,Abdon Pijpelink,2,3,3,0,2,,,,
967,wyukawa,1,1,1,1,1,1.0,1.0,7.0,0.0
968,Suhas Karanth,4,610,6,0,11,,,,
969,Dmitriy Troyan,1,1,1,0,1,,,,
970,Nilabh Sagar,2,437,19,1,7,,,,
971,Ulugbek Baymuradov,1,1,1,0,1,,,,
972,Andrew Selden,1,1,1,0,1,,,,
973,Himanshu Bhandoh,1,1,1,0,1,,,,
974,BUPTAnderson,1,6,10,1,1,0.0,1.0,1.0,0.0
975,Iliiaz Akhmedov,1,2,2,0,1,,,,
976,Sophie Chang,7,674,542,1,34,,,,
977,Fabien Baligand,3,111,49,3,6,,,,
978,Jim Ferenczi,95,1061,798,21,217,,,,
979,Michael Despotopoulos,1,1,1,0,1,,,,
980,farisk,1,2,0,0,1,0.0,1.0,1.0,0.0
981,Koen De Groote,13,180,202,1,88,,,,
982,Guillaume Le Floch,6,483,78,1,39,,,,
983,Bodecker DellaMaria,2,9,5,0,2,,,,
984,Danilo Akamine,1,0,5,0,1,,,,
985,Till Backhaus,1,4,3,0,1,,,,
986,Toby McLaughlin,7,122,60,1,11,,,,
987,olcbean,27,1554,747,4,136,169.0,65.0,83.0,0.0
988,Winston Ewert,1,45,1,0,2,,,,
989,Chee Wee,1,1,1,0,1,,,,
990,Anupam,1,1,1,0,1,,,,
991,glefloch,1,4,2,0,1,7.0,9.0,9.0,0.0
992,joachimdraeger,3,106,46,1,9,5.0,4.0,7.0,0.0
993,Chris Ivens,1,1,1,0,1,,,,
994,propulkit,2,2,3,0,2,1.0,3.0,3.0,0.0
995,Byron Voorbach,1,9,4,0,3,,,,
996,Vlad Holubiev,4,5,5,0,4,,,,
997,Luis Majano,1,7,4,0,1,,,,
998,George Papadrosou,1,86,12,1,8,,,,
999,Oleksandr Chychkan,1,1,1,0,1,,,,
1000,Kristen,1,3,3,0,1,,,,
1001,archana,1,1,1,0,1,,,,
1002,Ant¨®nio Ribeiro,1,4,4,0,2,,,,
1003,Brian Lesperance,1,1,1,0,1,,,,
1004,mashudong,1,1,1,1,1,9.0,1.0,6.0,0.0
1005,Sergey Novikov,3,116,10,0,11,,,,
1006,Yibin Lin,1,1,1,0,1,,,,
1007,Christian Hofstaedtler,1,3,12,0,2,,,,
1008,Yu,18,2820,732,1,122,,,,
1009,Eli Skeggs,1,1,1,0,1,,,,
1010,Andrey Groshev,1,11,0,0,6,,,,
1011,Sanne Grinovero,1,3,0,0,1,,,,
1012,Pandiyan Murugan,1,1,1,0,1,,,,
1013,Sergey Galkin,7,1507,391,1,27,,,,
1014,Andy Bristol,78,17677,4251,6,350,,,,
1015,John Murphy,2,12,99,0,7,,,,
1016,Nathan Taylor,1,0,1,0,1,,,,
1017,dkimdon,1,4,4,0,1,0.0,1.0,1.0,0.0
1018,Marcus Wittig,1,1,1,0,1,,,,
1019,Andreas Gebhardt,1,49,2,0,3,,,,
1020,Wesley Merkel,1,3,3,0,1,,,,
1021,Viral-Inc,1,1,1,0,1,0.0,2.0,2.0,0.0
1022,matarrese,8,435,94,1,34,4.0,11.0,11.0,0.0
1023,Herman Schaaf,1,1,1,0,1,,,,
1024,Neil Rickards,1,1,1,0,1,,,,
1025,Michael Basnight,144,101308,85227,21,3907,,,,
1026,propulkit,1,2,2,0,1,1.0,3.0,3.0,0.0
1027,Sam Cinco,1,20,1,0,2,,,,
1028,honourednihilist,1,28,13,0,2,0.0,2.0,2.0,0.0
1029,Aron Szanto,1,4,4,0,1,,,,
1030,Stuart Neivandt,2,127,30,0,7,,,,
1031,Ian Fisk,1,1,1,0,1,,,,
1032,Albert Zaharovits,87,22485,11405,17,599,,,,
1033,hanbj,5,28,13,1,7,7.0,16.0,17.0,0.0
1034,JapSeyz,1,1,1,0,1,0.0,1.0,1.0,0.0
1035,dlindeque,1,1,1,0,1,0.0,1.0,1.0,0.0
1036,Berg Lloyd-Haig,1,15,8,0,1,,,,
1037,Jordan Sissel,1,1,0,0,1,,,,
1038,R Tsien,1,1,1,0,1,,,,
1039,desmorto,1,23,23,0,18,1.0,7.0,7.0,0.0
