name,cmt,add,del,fixes,files
Gr¨¦gory Quatannens,1,4,4,0,1
Chris Simpson,1,2,1,0,1
Richard Pijnenburg,4,61,7,0,5
Dawid Weiss,8,714,553,1,106
sam,2,5,5,0,3
markharwood,122,32460,3920,44,886
Rashid Khan,5,0,0,0,0
ohnorobo,1,611,722,0,2
LightGuard,1,2,0,0,2
Benjamin Vetter,2,21,16,0,9
Rob Cherry,1,114,34,0,3
Alexander Reelsen,2,1348,153,0,35
b.hwang,4,0,0,0,0
dpen2000,1,1,1,0,1
Andy Goldstein,2,14,1,0,2
Matthias Wahl,2,72,21,1,5
Paul Horn,1,1,1,0,1
Kendall Gifford,1,1,1,0,1
Chris Zelenak,1,1,1,0,1
Mark Conlin,1,2,8,0,2
George P. Stathis,7,239,65,0,23
Lars Francke,3,28,28,0,3
Evan Wong,1,1,1,0,1
Kevin,22,1921,89,2,77
tstibbs,1,9,9,1,3
Sean Gallagher,5,239,56,3,7
Mihnea Dobrescu-Balaur,1,1,0,0,1
James Yu,2,6,6,1,2
Oleg Anashkin,1,1,1,0,1
Brian Yoder,1,8,2,1,3
constantijn,1,8,1,0,2
jayesh.modi,1,18,6,0,2
Isabel Drost-Fromm,179,19164,8591,7,821
Kelsey Francis,1,1,1,0,1
hura,1,1,1,0,1
Binh Ly,5,1095,7,0,7
Nils Dijk,2,52,8,1,3
Chris Cowan,7,1,0,0,1
James Brook,1,684,21,0,19
Konrad Feldmeier,4,130,122,2,33
Hugues Malphettes,1,2,2,0,1
Chris Cowan,72,2170,90,5,62
Andrew Selden,21,10303,1550,4,165
Andrew Selden,3,0,0,1,0
Derek Slife,1,1,1,0,1
Mohsin Husen,1,3,0,0,1
Kurt Hurtado,2,93,22,1,2
rphadake,1,2,2,0,2
EvanYellow,1,49,2,1,2
Kenta Suzuki,3,808,22,0,8
Justin Etheredge,1,30,6,0,1
lzhoucs,1,1,1,1,1
Randy Stauner,2,10,6,0,2
Dridi Boukelmoune,1,2,2,0,1
David Smiley,1,105,54,0,9
Robert Muir,4,338,116,0,37
Richard Louapre,1,225,7,0,7
Konrad Beiske,26,3206,1382,2,85
Peter Dyson,26,330,25,3,28
Andrew O'Brien,3,4,4,0,3
Alex Brasetvik,2,42,1,0,5
Hannes Korte,1,6,6,0,5
Chris Earle,6,882,117,1,11
Radu Gheorghe,2,1,7,0,2
kul,1,59,11,0,2
Timo Rantalaiho,1,13,0,0,2
Daniel Winterstein,1,10,0,0,1
Karl Meisterheim,1,3,3,0,1
gabriel-tessier,6,8,8,3,6
Miltos Allamanis,2,39,39,0,5
wittyameta,3,6,2,0,3
Malte Schirnacher,2,6,4,0,2
eliasah,3,10,7,0,3
Scott Wilkerson,1,1,1,1,1
Kouhei Sutou,1,1,1,0,1
Christoph Frick,1,1,1,0,1
Xiao Yu,3,104,32,0,5
Uwe Schindler,76,2249,1885,9,278
Samuel Molinari,1,1,1,0,1
mikemccand,312,38068,39100,43,1951
Benoss,1,5,5,0,1
Uwe Dauernheim,1,1,1,0,1
Robert Muir,972,85700,73882,133,7222
Mansur Ashraf,1,3,0,0,1
Alex Ksikes,80,15833,7248,16,524
Audrey,2,4,4,0,2
Igal,2,2,2,0,2
Ali Bozorgkhan,1,1,1,0,1
Matthieu Bacconnier,1,1,1,0,1
Keiji Yoshida,1,1,1,0,1
Ìï´«Îä,1,3,0,0,1
violuke,3,3,3,0,3
cccabot,1,4,4,0,1
Alex Marandon,1,25,3,0,2
Rashid Khan,1,2,2,0,1
Tiago Alves Macambira,2,3,4,1,2
matdere,1,7,2,0,1
Mahesh Paolini-Subramanya,2,2,2,0,2
ericheiker,1,2,2,0,1
Gaurav Arora,2,2,2,1,2
Colin Goodheart-Smithe,171,41049,10682,25,1198
mateusz_kaczynski,1,85,14,0,5
Mathias Fussenegger,7,138,35,1,17
Wilkes Joiner,1,102,6,0,5
salyh,3,9,3,0,3
leonardo menezes,1,3,11,0,1
Steve Fuller,2,2,2,2,2
Patrik Ragnarsson,1,1,1,0,1
stephlag,5,9,9,0,6
darkwarriors,1,4,4,1,1
Rob Young,1,1,1,0,1
Israel Tsadok,3,10,4,0,3
Philip Stevens,1,7,7,0,1
Christian Wolfe,1,31,31,0,9
gseng,2,3,3,0,2
Jad Naous,1,3,3,0,1
Yervand Aghababyan,1,2,3,0,1
Evgeniy Sokovikov,1,1,1,0,1
fransflippo,1,4,4,0,1
Matthew L Daniel,2,38,14,0,3
Luke Fender,1,1,1,0,1
shadow000fire,1,3,1,0,1
Daniel Winterstein,1,1,1,0,1
Matt Janssen,1,2,2,0,1
Chris,1,1,1,0,1
Fitblip,1,165,4,1,6
Phil Wills,1,4,2,0,1
Peter Burkholder,1,6,1,0,1
mahdeto,1,10,0,0,1
Florian Hopf,8,12,9,0,9
Duncan Angus Wilkie,1,1,1,1,1
Ian Babrou,1,42,42,0,1
jnguyenx,1,1,1,0,1
hanneskaeufler,1,1,1,0,1
Mikhail Korobov,2,20,11,1,2
Shikhar Bhushan,1,3,0,0,1
Shinsuke Sugaya,1,2,0,0,1
Carsten Brandt,2,2,2,1,2
Andrii Gakhov,1,1,1,0,1
Nick Steele,1,1,1,0,1
Naoki Orii,1,3,3,0,1
Areek Zillur,457,62950,39819,77,2781
Iulia Pasov,2,2,1,1,2
Roman Sanchez,1,3,0,0,1
Valdis Rigdon,1,1,2,0,1
Areek Zillur,1,0,0,1,0
Guillaume Nodet,1,46,38,0,1
Brian Murphy,252,33225,9600,23,1388
Patrick Peschlow,5,532,10,3,9
Ryan Ernst,1944,132003,192981,198,26763
matt-preston,1,27,3,0,1
Peter Kim,1,2,2,0,1
Medcl,1,3,0,0,1
Peter Johnson @insertcoffee,3,4,5,0,3
babeya,1,2,2,0,1
rendel,1,1,0,0,1
Justin Honold,1,1,1,0,1
Brian Altenhofel,1,2,2,0,1
Greg Marzouka,34,619,135,3,37
Kurt Hurtado,1,1,1,0,1
Stefan Antoni,1,1,1,1,1
Skye Book,1,1,1,1,1
bitsofinfo,1,90,1,0,6
Simon (Big Chief) Morley,5,280,21,1,12
baldurh,1,1,1,0,1
olivier bourgain,10,115,94,3,14
Thomas Peuss,1,56,5,0,2
Gheorghita Catalin Bordianu,1,1,1,0,1
Chris Allen,1,6,0,0,1
Mark Walkom,2,91,45,0,2
Akshay Kapoor,1,1,1,0,1
Krishna Raj,2,4,2,0,2
Phil Freo,1,1,1,0,1
rdpatil4,1,3,0,0,1
Mpampis Kostas,2,2,2,0,2
c-a-m,42,6442,2225,8,284
Cristiano Fontes,3,147,63,0,13
londocr,1,2,1,0,1
Philip Wills,1,19,16,0,15
Michael Brackx,1,19,5,0,3
Renaud AUBIN,1,1,1,0,1
mdalton,1,1,1,0,1
Jon Dokulil,1,22,0,0,1
shrinidhichaudhari,1,1,1,0,1
Dominik Surowiecki,1,2,2,0,1
pachanta,1,11,2,0,1
Tanvir Alam,1,1,1,1,1
Joao Duarte,2,5,6,0,2
ansj,1,1,0,0,1
Ulrich Reffle,2,3,1,0,2
Philipp Jardas,1,1,1,0,1
Jordan Snodgrass,1,2,0,0,1
Zachary Wasserman,1,3,3,0,1
nandakishore15,1,2,2,0,1
corochoone,2,3,4,0,2
Sergii Golubev,9,23,19,3,9
mdzor,2,5,4,0,2
Thom Dixon,1,1,1,0,1
Christian Verkerk,2,9,7,0,2
HenrikOssipoff,1,1,1,0,1
Jake Buob,2,2,2,0,2
Paul Pearcy,1,1,1,0,1
Suyog Rao,3,4,4,0,4
Paul Echeverri,24,24,16,1,2
tlrx,883,150731,73287,83,7727
Karel Minarik,12,12815,8665,3,304
Hang Su,1,1,1,1,1
sp836490,1,2,2,0,1
Henrik Nordvik,2,4,3,0,2
Chris Earle,20,634,242,0,37
Erik Ringsmuth,1,1,1,0,1
Derek Haynes,1,2,0,0,1
Son,1,9,12,0,3
Josh Kuhn,1,1,0,0,1
John Michael Luy,4,5,5,0,4
wmx3ng,1,2,1,0,1
Lukasz Dywicki,1,2,2,1,1
Ryan Grimm,1,2,2,0,1
Ayumi Yu,1,1,1,1,1
Erik Wyatt,1,3,1,0,1
Mark J Greene,1,3,6,0,1
Reuben Sutton,5,90,232,0,17
Andrei Kolosok,2,2,2,0,2
Brian Kim,1,5,5,1,1
Ron DuPlain,1,1,0,0,1
Randy D. Wallace Jr,1,1,0,0,1
Marcin Mikosik,1,1,1,1,1
Nirmal Chidambaram,2,87,21,1,8
Dmitriy Khvatov,1,1,1,0,1
Bruno Reni¨¦,3,67,34,0,12
J¨¦r¨¦my Lecour,1,1,1,0,1
Martijn Laarman,45,2265,1418,17,825
Satoyuki Tsukano,2,986,74,0,18
cmpich,2,3,3,0,2
astefan,1,5,0,0,1
Oliver Eilhard,2,5,3,0,2
Alex Leonhardt,1,1,0,0,1
Aarni Koskela,1,4,0,0,1
printercu,1,3,0,0,1
Kevin Kluge,3,13,6,1,4
Veres Lajos,1,89,89,1,54
Chris Mattmann,2,55,55,1,4
jdyer09,1,1,1,0,1
Andreas Kohn,12,60,39,0,20
Joel Taddei,1,1,1,0,1
Philip McMahon,1,13,2,0,3
Vidar Kongsli,1,3,3,0,2
Nicholas Knize,160,37815,21885,35,1498
nwarz,1,40,3,1,2
Ken Wu,2,11,3,1,2
Ryan Doyle,1,3,0,0,1
jaymode,485,133087,109203,86,5554
Philipp Bogensberger,2,49,67,0,4
Thomas Cucchietti,3,4,4,2,3
Damien Alexandre,5,22,19,1,5
ananich,1,9,0,0,1
Mariam Hakobyan,1,1,0,0,1
dw,2,6,6,0,2
Alban Perillat-Merceroz,1,1,1,0,1
barbasa,1,1,1,0,1
Laurent Broudoux,1,2,0,0,1
Sebastian Ziebell,4,55,31,0,9
unknown,1,2,0,0,1
David Haney,2,10,2,0,2
Matt Hughes,1,1,0,0,1
tristanbob,2,7,0,0,2
Cl¨¦ment Tourri¨¨re,3,126,8,0,7
pmamat,1,4,0,0,1
Patrick Koenig,2,45,32,0,5
Dan Tuffery,2,2,2,0,2
Thilo Fromm,3,114,18,2,11
Peter Johnson a.k.a. insertcoffee,4,19,16,1,4
Louis Sautier,1,15,1,0,1
Ashraf Sarhan,1,2,2,0,1
Adam Menges,1,8,8,0,1
Alexander Clausen,1,2,2,0,1
Peter Fabian Mitchell,1,72,1,0,3
Martijn Laarman,11,54,389,1,21
Satoshi Kimura,1,2,2,0,1
Simone Scarduzio,1,7,2,0,1
Ayush,1,1,1,0,1
spapin,1,1,1,1,1
Timothy Perisho,1,5,5,0,1
Pablo D¨ªaz-L¨®pez,1,1,1,0,1
Yasir Bamarni,1,1,1,0,1
Sebastian Utz,4,327,319,2,40
Guillaume Hiron,1,22,9,0,2
Tomas Varaneckas,1,2,2,0,1
Janmejay Singh,1,2,0,0,1
dtpeacock,1,1,1,0,1
Christoph B¨¹scher,31,4023,1648,5,186
Tomoya Hirano,1,2,2,0,1
eBuildy,4,8,8,1,4
Joe Hillenbrand,2,1,1,0,1
Dmitry Polushkin,1,3,0,0,1
sweetest,1,57,5,0,4
jhtimmins,1,1,1,0,1
Thomas Eschemann,1,5,0,0,1
Andrew Ochsner,1,4,0,0,1
Aske Hansen,1,3,0,0,1
Sourav Mitra,1,2,2,0,2
simaov,2,17,4,0,3
J Charitopoulos,2,2,3,0,2
Oliver,1,1,1,0,1
Glen Smith,17,111,31,3,17
Nicholas Canzoneri,2,7,7,1,2
Adam,2,1,2,0,2
Masaru Hasegawa,14,771,281,1,46
Kenta Okamoto,1,1,1,0,1
Alfredo Serafini,1,1,1,0,1
Victor Buldakov,1,5,1,0,2
Blake Niemyjski,1,1,1,0,1
Serhiy Suprun,1,1,1,0,1
Marcin Matlaszek,1,2,2,0,1
Jerry,1,1,1,0,1
orenash,1,22,22,0,1
Michael Sander,2,2,2,1,2
IsaacHaze,1,11,11,0,1
cgp,1,1,1,0,1
Geoff Bourne,1,11,0,0,1
Pius,3,5,2,0,3
Matias Tealdi,1,0,0,1,3
paul-e-cooley,1,63,0,0,4
Petr Bela,1,1,1,1,1
mikemccand,1,4,2,0,1
Simon Willnauer,371,32195,36065,27,2591
Joshua Rich,4,1,1,2,1
Robert Muir,280,1,1,18,1
Al Lefebvre,1,2,0,0,1
Corey Daley,1,1,1,0,1
popovae,1,5,0,0,1
Asimov4,2,6,6,0,2
Devin Chollak,2,4,4,0,2
Tim Schlechter,2,1,4,0,2
Sylwester Lachiewicz,2,9,9,0,3
Glen Smith,1,1,0,0,1
Sebastian Monte,1,31,41,1,13
David Wittman,1,3,3,0,2
Lucas Chi,1,1,1,0,1
Ryan Schneider,1,3,0,0,1
Eike Dehling,1,41,2,0,2
Guillaume Dievart,1,1,1,0,1
B1nj0y,1,1,1,0,1
Maurizio De Magnis,1,1,1,0,1
Dustin Shiver,1,8,4,0,1
Christian Rohling,1,2,0,0,1
Isabel Drost-Fromm,72,2841,2247,16,121
joelbourbon,1,1,1,0,1
Stefan,1,14,14,0,1
blackorzar,1,4,0,0,1
marko asplund,1,8,8,1,1
Spencer Alger,4,15,15,3,6
David Pursehouse,3,37,22,0,9
Benoit Delbosc,2,18,12,0,2
Julie Tibshirani,1,79,3,0,2
Jack Conradson,337,134086,80757,26,4553
Alexander,1,1,1,1,1
Mal Curtis,1,1,1,0,1
Adam Mollenkopf,1,1,1,0,1
Mehdi Mollaverdi,1,2,2,0,1
Mark Mulder,1,4,4,0,1
Christine,1,4,4,0,1
navins,1,3,3,0,1
minde-eagleeye,1,1,1,0,1
aleph-zero,8,1410,68,2,25
Antonio Bonuccelli,3,24,1,0,3
Mikael Mattsson,1,3,0,0,1
Cl¨¦ment Sala¨¹n,1,1,1,0,1
Pascal Borreli,2,54,54,0,45
Christoph B¨¹scher,817,59637,33188,48,3667
josephwolnskipn,1,59,59,0,1
Scott Chamberlain,2,7,1,0,2
Yannick Welsch,1,389,74,0,3
Colin Goodheart-Smithe,718,443515,219173,122,6433
Eduardo Gurgel,1,2,2,0,1
Alex Chan,2,9,9,0,7
jzinner,1,4,0,0,2
Ryan Schneider,3,5,3,0,2
Spyros Kapnissis,1,14,0,0,3
Gasol Wu,1,46,0,0,1
Kis Marcell,1,43,20,0,4
Timur,1,1,1,1,1
Michael McCandless,43,482,239,1,47
Chelsea  Lura,1,1,1,0,1
Robin Clarke,7,21,11,1,7
Steve Kearns,2,436,409,0,3
srogljan,1,2,2,1,2
Shaunak Kashyap,86,889,449,6,114
Mark Walkom,18,72,43,0,19
Nirmal Chidambaram,1,104,1,0,6
oyiadom,3,7,1,0,3
Iarwa1n,1,1,1,0,1
caldwecr,2,6,5,0,2
Johannes Barthelmes,1,20,12,0,1
Artur Cygan,1,13,13,0,1
Luca Cavanna,447,47510,27311,35,2708
Carol Willing,1,1,1,0,1
Wolfgang Karall,1,4,1,0,1
Khalah Jones Golden,9,0,0,1,0
Khalah Jones-Golden,23,33,56,0,3
szroland,8,222,25,0,11
Ruslan Boyarskiy,1,1,1,0,1
William Li,1,2,2,0,1
astefan,141,34440,6887,17,1082
jhr007,1,13,2,0,1
Jason Tedor,2792,294372,210986,420,17785
Jakob Reiter,1,5,5,0,1
johnpickett,1,1,1,1,1
William Webber,3,3,3,0,3
Tyler Langlois,4,14,10,1,4
Israel Ekpo,1,3,3,0,1
Jay Modi,328,63396,39696,44,4149
johnfrederik,1,1,1,0,1
John Roesler,1,6,0,1,1
Joshua Rich,1,17,0,0,1
debadair,54,4959,3744,0,169
Chris Roche,1,2,2,0,1
Scott Florentino,2,11,3,0,2
Alexander Clare,2,8,3,0,2
Ruflin,6,307,65,0,8
Chris Earle,103,12870,8337,7,524
khiraiwa,1,1,1,0,1
xuzha,30,2478,595,1,145
Dave Parfitt,4,278,9,0,10
Dave Parfitt,3,0,0,0,0
Suyog Rao,4,72,23,0,5
Jamie White,1,1,1,0,1
Sylvain Zimmer,2,6,1,0,2
Lee Hinman,302,58079,26115,28,3279
kakakakakku,2,3,5,0,2
Scott Florentino,1,0,0,1,0
loopmachine,1,2,2,0,1
Xu Zhang,13,0,0,0,0
keety,1,40,1,1,3
saschamarkus,1,14,1,0,2
Andrey Fadeyev,3,38,12,0,3
Harish Kayarohanam,2,20,2,0,2
Jason Tedor,1,1,1,0,1
Ian Truslove,1,2,2,0,1
Murilo Pereira,2,6,6,0,2
Jim Hooker,2,18,18,0,6
Andr¨¦ Carvalho,14,181,42,0,25
Fabian Selles Rosa,1,51,2,0,2
Spencer,19,36,37,2,13
Ivannikov Kirill,15,242,98,2,17
Marshall Bockrath-Vandegrift,1,23,15,0,1
Shane Connelly,15,152,126,0,18
Britta Weber,41,14789,962,9,111
DeDe Morton,18,1034,927,0,21
ramky1982,1,1,1,0,1
Paul Echeverri,5,534,8,2,9
Alexander Pepper,1,6,5,0,1
Rashmi Kulkarni,7,302,0,2,5
Pedro Andujar,1,2,2,0,1
Tim Sullivan,97,677,117,34,31
Michael Schonfeld,2,2,3,0,4
Scott Kingsley Clark,1,1,1,0,1
Robert Berg,1,3,7,0,1
Camilo D¨ªaz Repka,5,513,234,0,100
Mikko Nyl¨¦n,1,3,1,0,1
ulkas,1,1,1,1,1
Taehee Kim,1,1,1,0,1
Alex Chow,1,52,18,0,8
Jason Veatch,2,3,2,0,2
Jose Diaz-Gonzalez,1,1,1,0,1
Yannick Welsch,115,7414,3792,31,323
Alex,1,1,1,0,1
Michele Palmia,1,1,1,0,1
Kevin Kirsche,2,6,2,0,2
Robert,3,6,2,0,3
Patrick Kaufmann,1,1,1,0,1
Court Ewing,17,28,5,5,3
Sarwar Bhuiyan,3,17,31,0,3
PhaedrusTheGreek,2,6,5,1,5
bharvi,2,2,2,0,2
Pius,11,17,14,0,10
Tal Levy,201,22281,14947,36,936
Tal Levy,289,41717,14277,61,2178
Jason O'Donnell,6,6,6,0,6
jmferrer,1,1,1,0,1
Christian Haudum,1,105,1,0,5
Jeff Destine,1,2,0,0,1
jurgc11,1,1,0,0,1
Brady Vidovic,1,1,1,0,1
Yuhao Bi,3,14,2,2,4
David Tvaltchrelidze,1,1,1,0,1
Daniel Mitterdorfer,107,7489,2956,5,503
KangYongKyun,1,2,2,0,1
Your Full Name,1,35,9,1,2
Lukas Olson,110,424,424,44,30
girirajsharma,1,1,1,0,1
William Bowling,2,160,62,0,8
andrejserafim,3,423,46,1,38
Chris Earle,106,14979,5674,5,667
Vishnu Valleru,1,1,1,0,1
Peter Lebedev,1,16,0,0,1
J Grubb,1,3,3,0,1
Kopylov German,1,1,1,0,1
craigwi,1,774,167,0,16
Jamie McCarthy,1,5,6,0,1
William,1,1,1,0,1
Shikhar Bhushan,1,1,0,0,1
Dominik Stadler,5,1540,99,0,27
Timothy Sullivan,6,22,2144,0,37
Jimmi Dyson,1,1,0,0,1
tomoya yokota,1,2,2,0,1
Jason Spafford,1,1,1,0,1
Shintaro Kaneko,1,1,1,0,1
Johnny Lim,2,21,23,0,3
Jim Ferenczi,3,311,187,0,12
Jim Ferenczi,588,93899,46980,101,5439
Jochen Schalanda,1,10,0,0,1
Rhommel Lamas,2,2,0,0,2
Xavier Coulon,1,1,1,0,1
Ryan,2,13,6,0,2
Gao Yingkai,1,4,2,0,1
Ben Tse,1,1,1,1,1
Myll,1,68,63,0,10
Paulo Martins,1,8,8,0,2
Khalah Jones Golden,1,0,0,0,0
Lukas Olson,1,0,0,0,0
Andrew Williams,1,5,4,0,1
Felipe Forbeck,7,217,135,1,11
umeku,1,4,4,0,1
soinlv,1,0,1,0,1
Jason Bryan,3,4,3,0,2
kwangsik,1,1,1,0,1
socurites,2,2,2,0,2
Dave,1,124,4,0,4
mysqlguru,1,1,1,0,1
omiend,1,1,1,0,1
Devi,1,1,1,1,1
David Roberts,6,20,16,0,5
Eugene Pirogov,1,12,13,0,1
Imran Azad,1,96,0,0,2
Nick,2,4,4,0,2
nick.a.sarbicki@gmail.com,1,2,3,0,1
Ali Beyad,276,31520,16080,43,1588
Joe Fleming,44,0,0,19,0
Ryan Schneider,1,25,0,0,1
Kiyan,1,1,1,0,1
Rachit Gupta,1,1,1,0,1
Kevin Adams,1,1,2,1,1
Ofir,3,2,1,0,3
Mike McCandless,32,857,571,2,242
LeeDr,3,5,5,1,4
Prayag Verma,1,1,1,0,1
Russell Cohen,1,3,0,0,1
Yannick Welsch,638,74650,53817,47,3608
Chris Moultrie,1,18,1,0,1
Dongjoon Hyun,9,275,275,1,196
gaelL,1,1,1,1,1
Laurent Defert,1,1,1,0,1
James Bertouch,4,101,14,0,14
Konstantin Delchev,1,1,1,0,1
evanfreed,1,1,1,0,1
Andrey Ryaguzov,1,20,8,0,2
Alexander Kazakov,30,1844,745,2,145
Geoff Wagstaff,1,1,1,0,1
James Kerr,1,1,1,0,1
Vector241-Eric,1,1,1,0,1
Christopher Taylor,1,1,1,0,1
Andrew Cholakian,6,307,171,0,18
thefourtheye,6,28,20,1,6
Zachary Tong,143,67937,16691,17,1705
Ed Winn,1,1,1,0,1
Jared Carey,3,2,1,0,2
Joe Fleming,15,0,0,9,0
Michael Stockerl,2,35,23,0,3
Thomas Hunter II,1,1,1,0,1
Simon Willison,1,7,0,0,1
Philip Ottesen,1,28,0,0,2
pengqiuyuan,1,1,1,0,1
Nicolas Tr¨¦segnie,1,222,2,0,4
Dan Jasek,1,40,22,1,7
qwerty4030,8,2926,1555,1,135
Yanjun Huang,1,48,2,0,5
Joe Hillenbrand,1,5,5,0,5
Dimitrios Liappis,8,71,55,1,8
Dimitrios Liappis,40,829,258,3,69
Jeff,1,1,1,0,1
